Age,Gender,Years of Experience,Salary
32,4,5,90000
28,2,3,65000
45,4,15,150000
36,2,7,60000
52,4,20,200000
29,4,2,55000
42,2,12,120000
31,4,4,80000
26,2,1,45000
38,4,10,110000
29,4,3,75000
48,2,18,140000
35,4,6,65000
40,2,14,130000
27,4,2,40000
44,4,16,125000
33,2,7,90000
39,4,12,115000
25,2,0,35000
51,4,22,180000
34,2,5,80000
47,4,19,190000
30,4,2,50000
36,2,9,60000
41,4,13,140000
28,2,3,45000
37,2,11,110000
24,4,1,40000
43,2,15,140000
33,4,6,90000
50,4,25,250000
31,2,4,55000
29,4,3,75000
39,2,10,65000
46,4,20,170000
27,4,2,45000
35,2,7,60000
42,4,14,115000
26,2,1,40000
49,4,21,160000
34,2,5,80000
48,4,18,190000
30,4,3,60000
36,2,8,45000
41,4,13,130000
28,2,2,40000
32,4,5,75000
45,2,16,180000
38,4,11,120000
25,4,0,35000
51,2,22,130000
33,4,7,85000
40,2,12,60000
47,4,19,200000
29,2,3,50000
36,4,9,95000
27,2,2,65000
43,4,17,140000
30,2,4,55000
35,4,7,105000
51,2,23,170000
29,4,3,50000
40,2,12,80000
47,4,21,180000
26,4,1,35000
38,2,10,90000
46,4,19,120000
31,2,5,45000
34,4,8,90000
49,2,18,150000
33,4,6,65000
39,2,11,70000
45,4,16,190000
28,4,2,40000
42,2,14,120000
37,4,10,95000
50,2,22,160000
32,4,6,100000
48,2,20,180000
30,2,3,55000
36,4,8,70000
41,2,13,80000
25,4,0,30000
52,4,24,250000
29,2,2,40000
34,2,10,95000
27,4,2,45000
40,2,15,80000
46,4,21,135000
31,2,6,55000
36,4,11,120000
29,2,3,40000
43,4,18,105000
52,2,25,170000
33,4,7,75000
39,2,12,65000
47,4,22,160000
26,4,1,35000
38,2,10,90000
45,4,20,110000
31,2,5,45000
35,4,8,95000
49,2,19,150000
33,4,5,50000
39,2,13,80000
44,4,16,220000
30,2,3,50000
36,4,7,60000
41,2,14,100000
28,4,2,40000
42,2,15,110000
37,4,9,95000
50,2,22,130000
32,4,6,90000
23,2,0.5,35000
31,4,6,95000
40,2,15,65000
48,4,20,170000
29,2,3,45000
35,4,10,120000
42,2,17,100000
53,4,25,180000
33,2,5,50000
38,4,11,80000
44,2,16,140000
26,4,2,40000
37,2,9,95000
45,4,18,110000
32,2,4,50000
34,4,8,105000
50,2,21,160000
29,4,3,45000
40,2,12,100000
47,4,22,160000
27,4,1,35000
39,2,10,55000
46,4,19,140000
30,2,4,50000
36,4,7,60000
43,2,14,120000
28,4,2,40000
41,2,13,110000
33,4,5,50000
47,4,20,135000
25,2,1.5,40000
34,4,8,90000
42,2,16,150000
31,4,4,60000
38,2,10,80000
45,4,19,175000
29,2,3,45000
36,4,11,120000
43,2,18,140000
26,4,2,35000
37,2,9,95000
44,4,14,110000
32,2,5,50000
33,4,7,115000
51,2,23,185000
28,4,2,40000
39,2,12,90000
48,4,21,175000
30,2,3,45000
35,4,7,80000
41,2,13,120000
27,4,1.5,35000
40,2,14,110000
46,4,18,150000
31,2,4,50000
34,4,9,105000
50,2,20,180000
29,4,2,40000
32,4,7,115000
43,4,16,140000
26,2,1.5,45000
