Age,Gender,Education Level,Job Title,Years of Experience,Salary
32,1,1,177,5,90000
28,0,3,18,3,65000
45,1,4,145,15,150000
36,0,1,116,7,60000
52,1,3,26,20,200000
29,1,1,94,2,55000
42,0,3,107,12,120000
31,1,1,119,4,80000
26,0,1,95,1,45000
38,1,4,166,10,110000
29,1,3,176,3,75000
48,0,1,48,18,140000
35,1,1,41,6,65000
40,0,3,110,14,130000
27,1,1,14,2,40000
44,1,1,103,16,125000
33,0,3,97,7,90000
39,1,4,131,12,115000
25,0,1,19,0,35000
51,1,1,117,22,180000
34,0,3,4,5,80000
47,1,3,191,19,190000
30,1,1,54,2,50000
36,0,1,113,9,60000
41,1,3,42,13,140000
28,0,1,175,3,45000
37,0,3,179,11,110000
24,1,1,67,1,40000
43,0,4,127,15,140000
33,1,3,106,6,90000
50,1,1,7,25,250000
31,0,1,1,4,55000
29,1,3,20,3,75000
39,0,1,98,10,65000
46,1,4,145,20,170000
27,1,1,186,2,45000
35,0,1,47,7,60000
42,1,3,109,14,115000
26,0,1,17,1,40000
49,1,1,118,21,160000
34,0,3,188,5,80000
48,1,3,102,18,190000
30,1,1,99,3,60000
36,0,1,2,8,45000
41,1,3,181,13,130000
28,0,1,11,2,40000
32,1,1,0,5,75000
45,0,3,34,16,180000
38,1,4,166,11,120000
25,1,1,49,0,35000
51,0,1,13,22,130000
33,1,3,6,7,85000
40,0,1,39,12,60000
47,1,3,190,19,200000
29,0,1,46,3,50000
36,1,1,119,9,95000
27,0,3,189,2,65000
43,1,4,131,17,140000
30,0,1,174,4,55000
35,1,3,107,7,105000
51,0,3,35,23,170000
29,1,1,94,3,50000
40,0,1,48,12,80000
47,1,4,130,21,180000
26,1,1,57,1,35000
38,0,3,24,10,90000
46,1,1,53,19,120000
31,0,1,15,5,45000
34,1,3,5,8,90000
49,0,3,133,18,150000
33,1,1,192,6,65000
39,0,1,113,11,70000
45,1,4,114,16,190000
28,1,1,185,2,40000
42,0,3,12,14,120000
37,1,1,110,10,95000
50,0,1,103,22,160000
32,1,3,169,6,100000
48,0,3,51,20,180000
30,0,1,10,3,55000
36,1,1,184,8,70000
41,0,3,18,13,80000
25,1,1,121,0,30000
52,1,4,9,24,250000
29,0,1,66,2,40000
34,0,3,40,10,95000
27,1,1,56,2,45000
40,0,1,47,15,80000
46,1,3,160,21,135000
31,0,1,95,6,55000
36,1,4,105,11,120000
29,0,1,116,3,40000
43,1,1,183,18,105000
52,0,3,149,25,170000
33,1,1,4,7,75000
39,0,1,187,12,65000
47,1,4,115,22,160000
26,1,1,87,1,35000
38,0,3,111,10,90000
45,1,1,101,20,110000
31,0,1,39,5,45000
35,1,3,108,8,95000
49,0,3,137,19,150000
33,1,1,91,5,50000
39,0,3,158,13,80000
44,1,4,8,16,220000
30,0,1,23,3,50000
36,1,1,55,7,60000
41,0,3,146,14,100000
28,1,1,16,2,40000
42,0,3,135,15,110000
37,1,1,180,9,95000
50,0,1,182,22,130000
32,1,3,125,6,90000
23,0,1,72,0.5,35000
31,1,3,133,6,95000
40,0,1,100,15,65000
48,1,4,104,20,170000
29,0,1,71,3,45000
35,1,3,156,10,120000
42,0,1,119,17,100000
53,1,3,34,25,180000
33,0,1,76,5,50000
38,1,1,13,11,80000
44,0,4,166,16,140000
26,1,1,57,2,40000
37,0,3,136,9,95000
45,1,1,120,18,110000
32,0,1,95,4,50000
34,1,3,168,8,105000
50,0,3,35,21,160000
