Age,Gender,Years of Experience,Salary
32,Male,5,90000
28,Female,3,65000
45,Male,15,150000
36,Female,7,60000
52,Male,20,200000
29,Male,2,55000
42,Female,12,120000
31,Male,4,80000
26,Female,1,45000
38,Male,10,110000
29,Male,3,75000
48,Female,18,140000
35,Male,6,65000
40,Female,14,130000
27,Male,2,40000
44,Male,16,125000
33,Female,7,90000
39,Male,12,115000
25,Female,0,35000
51,Male,22,180000
34,Female,5,80000
47,Male,19,190000
30,Male,2,50000
36,Female,9,60000
41,Male,13,140000
28,Female,3,45000
37,Female,11,110000
24,Male,1,40000
43,Female,15,140000
33,Male,6,90000
50,Male,25,250000
31,Female,4,55000
29,Male,3,75000
39,Female,10,65000
46,Male,20,170000
27,Male,2,45000
35,Female,7,60000
42,Male,14,115000
26,Female,1,40000
49,Male,21,160000
34,Female,5,80000
48,Male,18,190000
30,Male,3,60000
36,Female,8,45000
41,Male,13,130000
28,Female,2,40000
32,Male,5,75000
45,Female,16,180000
38,Male,11,120000
25,Male,0,35000
51,Female,22,130000
33,Male,7,85000
40,Female,12,60000
47,Male,19,200000
29,Female,3,50000
36,Male,9,95000
27,Female,2,65000
43,Male,17,140000
30,Female,4,55000
35,Male,7,105000
51,Female,23,170000
29,Male,3,50000
40,Female,12,80000
47,Male,21,180000
26,Male,1,35000
38,Female,10,90000
46,Male,19,120000
31,Female,5,45000
34,Male,8,90000
49,Female,18,150000
33,Male,6,65000
39,Female,11,70000
45,Male,16,190000
28,Male,2,40000
42,Female,14,120000
37,Male,10,95000
50,Female,22,160000
32,Male,6,100000
48,Female,20,180000
30,Female,3,55000
36,Male,8,70000
41,Female,13,80000
25,Male,0,30000
52,Male,24,250000
29,Female,2,40000
34,Female,10,95000
27,Male,2,45000
40,Female,15,80000
46,Male,21,135000
31,Female,6,55000
36,Male,11,120000
29,Female,3,40000
43,Male,18,105000
52,Female,25,170000
33,Male,7,75000
39,Female,12,65000
47,Male,22,160000
26,Male,1,35000
38,Female,10,90000
45,Male,20,110000
31,Female,5,45000
35,Male,8,95000
49,Female,19,150000
33,Male,5,50000
39,Female,13,80000
44,Male,16,220000
30,Female,3,50000
36,Male,7,60000
41,Female,14,100000
28,Male,2,40000
42,Female,15,110000
37,Male,9,95000
50,Female,22,130000
32,Male,6,90000
23,Female,0.5,35000
31,Male,6,95000
40,Female,15,65000
48,Male,20,170000
29,Female,3,45000
35,Male,10,120000
42,Female,17,100000
53,Male,25,180000
33,Female,5,50000
38,Male,11,80000
44,Female,16,140000
26,Male,2,40000
37,Female,9,95000
45,Male,18,110000
32,Female,4,50000
34,Male,8,105000
50,Female,21,160000
29,Male,3,45000
40,Female,12,100000
47,Male,22,160000
27,Male,1,35000
39,Female,10,55000
46,Male,19,140000
30,Female,4,50000
36,Male,7,60000
43,Female,14,120000
28,Male,2,40000
41,Female,13,110000
33,Male,5,50000
47,Male,20,135000
25,Female,1.5,40000
