age,job,marital,education,balance,housing,loan,duration,campaign,deposit
59,0,1,1,2288,1,0,1021,0,1
56,0,1,1,469,0,0,1283,0,1
41,9,1,1,1618,1,0,1246,0,1
55,7,1,1,2356,1,0,577,0,1
54,0,1,2,608,0,0,671,1,1
42,4,2,2,424,1,1,560,1,1
56,4,1,2,1241,1,1,1140,0,1
60,5,0,1,968,1,0,1009,0,1
37,9,1,1,425,1,0,606,0,1
28,7,2,1,3202,1,0,1197,2,1
38,0,2,1,524,1,0,782,0,1
30,1,1,1,733,1,0,1326,1,1
29,4,1,2,623,1,1,1354,3,1
46,1,2,2,883,1,0,1069,1,1
31,9,2,2,1121,1,0,932,1,1
35,4,0,2,2901,1,0,1052,0,1
32,1,2,0,1034,1,0,539,2,1
49,7,1,1,417,1,0,1081,0,1
41,0,1,1,479,1,0,1082,1,1
49,0,0,1,592,1,1,511,0,1
28,0,0,1,1199,1,0,440,1,1
43,4,2,2,2152,1,0,753,0,1
43,4,0,2,811,1,0,1404,1,1
43,1,1,0,279,1,0,1082,1,1
37,10,2,1,804,1,0,971,1,1
35,1,2,1,464,1,0,615,3,1
31,9,2,2,446,1,0,481,2,1
43,1,2,1,427,1,0,920,2,1
31,0,1,1,731,1,0,536,0,1
28,1,2,1,1174,1,0,708,0,1
32,1,1,1,423,1,0,651,0,1
60,9,1,0,489,1,0,1007,1,1
26,1,2,1,506,1,0,652,0,1
40,1,1,1,434,1,0,1356,1,1
33,1,0,0,813,1,0,663,1,1
32,4,2,2,735,0,0,754,1,1
35,1,1,0,837,0,0,502,3,1
33,4,0,1,429,1,0,1225,0,1
38,4,1,2,543,1,0,566,3,1
23,2,2,0,428,1,0,393,1,1
60,1,1,0,1612,1,1,997,0,1
48,4,1,2,2086,1,0,681,1,1
45,2,0,2,154,1,0,468,0,1
36,1,1,1,1533,1,0,984,3,1
52,4,1,1,2238,1,0,839,0,1
35,1,0,0,724,1,0,934,1,1
43,9,1,1,2715,1,0,1362,1,1
52,3,1,1,2927,1,0,931,2,1
53,9,0,0,1751,1,0,474,0,1
48,1,0,0,448,1,0,827,0,1
41,1,2,0,1875,1,0,1317,0,1
39,4,0,2,940,1,1,1212,0,1
59,5,1,1,1803,1,1,1087,1,1
41,1,1,1,2531,1,0,852,0,1
48,1,1,1,1724,1,0,627,1,1
40,0,1,1,1815,1,0,702,0,1
48,1,1,1,1858,1,0,757,0,1
60,5,1,0,1822,1,0,921,0,1
40,9,2,1,2844,1,0,1007,1,1
57,9,1,2,423,0,0,844,1,1
51,1,1,1,3464,1,0,919,0,1
41,1,0,1,3236,1,0,1263,2,1
41,1,1,1,1707,1,0,1115,3,1
52,1,0,0,280,1,0,752,0,1
59,1,1,0,744,1,0,693,0,1
44,1,1,1,570,1,0,481,0,1
49,4,1,0,765,1,1,518,1,1
40,7,1,0,416,1,0,912,1,1
41,0,1,0,205,1,0,498,0,1
44,9,1,2,3096,1,0,903,1,1
60,7,2,0,737,1,0,912,1,1
29,4,1,2,3643,0,0,1156,1,1
41,5,0,0,252,1,0,1111,1,1
41,1,1,0,2342,1,0,1028,0,1
42,9,2,1,1694,1,0,1381,5,1
36,7,2,1,705,1,0,513,0,1
39,9,1,2,518,1,1,808,0,1
31,6,2,2,568,1,0,674,0,1
26,1,1,1,670,1,0,1102,2,1
31,1,1,1,516,1,0,686,0,1
29,0,2,1,587,1,1,799,0,1
37,7,0,1,473,1,0,617,1,1
33,1,2,1,142,1,0,764,1,1
24,9,2,1,832,1,0,904,0,1
50,0,0,1,786,1,0,1219,0,1
27,9,2,2,2862,1,0,890,0,1
54,4,2,2,3048,1,0,1197,2,1
30,9,2,1,1269,1,0,1135,4,1
34,1,1,0,1113,1,1,1039,3,1
37,4,2,1,1206,1,0,1132,3,1
41,0,2,1,1416,1,0,876,0,1
47,1,1,1,1269,1,0,932,1,1
31,0,1,1,521,1,0,605,0,1
31,1,1,1,1169,1,0,1002,3,1
43,7,0,1,1433,1,0,550,2,1
37,4,0,2,546,1,0,1340,1,1
30,9,2,2,1285,1,1,953,5,1
41,9,1,1,924,1,0,577,4,1
36,1,1,1,3060,1,0,444,0,1
35,1,0,1,424,1,0,1144,0,1
29,7,2,1,695,1,0,1384,1,1
35,1,1,0,526,1,0,1217,0,1
31,1,1,1,426,1,0,180,1,1
35,7,1,1,2999,1,0,1369,0,1
34,9,2,1,509,1,0,1128,3,1
31,0,2,1,854,1,1,1023,0,1
44,9,0,1,1382,1,0,648,2,1
36,1,1,0,831,1,1,1038,1,1
35,1,1,1,3152,1,0,837,1,1
41,1,1,0,1603,1,0,1248,1,1
31,1,2,0,640,1,0,563,0,1
34,1,1,1,1567,1,0,898,0,1
32,9,1,1,1205,1,0,779,1,1
36,4,1,2,1257,1,1,946,1,1
30,1,2,1,663,1,0,410,0,1
37,9,2,1,1569,1,0,791,0,1
36,1,1,0,1022,1,0,647,1,1
31,4,2,2,1236,1,0,504,1,1
27,9,1,1,2210,1,1,851,0,1
34,5,1,0,3072,0,0,1353,0,1
30,9,2,2,1633,1,0,1357,1,1
32,9,2,2,3117,1,0,854,1,1
37,9,2,1,2734,1,0,795,0,1
32,1,1,1,1197,1,0,915,2,1
33,1,1,1,424,1,0,519,2,1
35,1,1,0,1392,1,0,1228,7,1
35,6,0,2,1687,1,0,734,1,1
30,1,2,1,663,1,0,781,0,1
45,1,0,0,202,1,0,1009,0,1
45,0,1,1,573,1,0,886,2,1
33,1,1,1,1765,1,0,586,2,1
44,4,0,2,3308,0,0,595,5,1
40,1,1,0,702,1,0,997,2,1
31,1,1,1,2563,1,0,1248,1,1
30,9,1,2,964,1,0,412,1,1
44,9,0,1,1612,1,0,784,10,1
34,7,1,1,93,1,0,680,0,1
37,1,1,1,549,0,0,677,1,1
28,6,2,2,424,1,0,1322,1,1
32,0,2,1,1043,1,0,1163,2,1
37,1,0,1,740,1,0,640,1,1
34,4,1,2,2259,1,0,888,3,1
38,0,0,1,622,1,0,429,1,1
28,0,2,1,883,1,0,739,5,1
31,4,0,2,1516,1,0,1186,3,1
59,7,1,1,405,1,0,746,2,1
24,1,1,1,1103,1,0,889,2,1
26,7,2,1,1305,1,0,761,1,1
59,5,2,1,775,1,0,1038,4,1
30,2,2,0,424,1,1,1027,0,1
37,0,1,1,698,1,0,729,2,1
30,0,2,1,260,1,1,749,0,1
25,1,1,1,521,1,0,707,0,1
44,7,0,1,475,1,1,1422,1,1
29,4,1,2,738,0,0,927,1,1
26,4,2,2,3428,1,0,1322,1,1
26,9,2,1,1088,1,0,574,2,1
27,7,2,1,478,1,0,541,1,1
25,6,2,1,1597,1,0,613,1,1
28,4,1,1,716,1,0,505,0,1
23,7,2,1,1085,1,0,1129,0,1
34,4,2,2,1447,1,0,858,1,1
28,8,2,1,1352,1,0,1364,0,1
51,2,1,1,1029,1,0,558,8,1
35,1,1,1,424,1,1,541,0,1
35,0,1,1,827,1,0,537,0,1
56,1,1,1,673,1,0,787,1,1
45,10,0,1,2745,1,0,744,0,1
60,1,0,1,424,1,0,1146,0,1
56,9,1,1,1012,1,0,533,1,1
27,4,2,2,3700,1,0,785,2,1
30,0,1,1,1278,1,0,788,2,1
45,1,0,0,1017,1,0,828,1,1
29,1,2,1,406,1,0,809,1,1
38,4,0,2,3122,1,0,1235,1,1
30,1,1,1,909,1,0,1075,2,1
44,1,2,0,1855,1,0,823,2,1
36,4,2,2,3493,1,0,909,0,1
38,9,1,1,650,1,0,759,2,1
36,1,2,1,789,1,1,1093,1,1
37,4,0,1,440,1,0,636,0,1
35,4,2,2,988,1,0,760,0,1
38,0,0,1,443,1,0,602,1,1
40,7,1,0,1466,1,0,848,1,1
42,10,0,1,1933,1,0,849,1,1
46,4,0,2,3723,1,0,1185,0,1
35,9,0,1,3298,1,0,689,9,1
34,9,0,1,1756,1,0,1065,14,1
32,7,1,1,395,1,0,1164,1,1
50,10,1,1,2850,1,0,880,2,1
35,1,1,1,1116,1,1,1222,2,1
36,9,2,1,2989,1,0,807,2,1
