Client,Age,Job,Marital ,Education,Balance,Housing,Loan,Duration,Campaign,deposit
1,59,8,3,2,2343,1,2,1042,1,1
2,56,8,3,2,45,0,2,1467,1,1
3,41,7,3,2,1270,1,2,1389,1,1
4,55,6,3,2,2476,1,2,579,1,1
5,54,8,3,3,184,0,2,673,2,1
6,42,10,2,3,0,1,1,562,2,1
7,56,10,3,3,830,1,1,1201,1,1
8,60,3,1,2,545,1,2,1030,1,1
9,37,7,3,2,1,1,2,608,1,1
10,28,6,2,2,5090,1,2,1297,3,1
11,38,8,2,2,100,1,2,786,1,1
12,30,5,3,2,309,1,2,1574,2,1
13,29,10,3,3,199,1,1,1689,4,1
14,46,5,2,3,460,1,2,1102,2,1
15,31,7,2,3,703,1,2,943,2,1
16,35,10,1,3,3837,1,2,1084,1,1
17,32,5,2,1,611,1,2,541,3,1
18,49,6,3,2,-8,1,2,1119,1,1
19,41,8,3,2,55,1,2,1120,2,1
20,49,8,1,2,168,1,1,513,1,1
21,28,8,1,2,785,1,2,442,2,1
22,43,10,2,3,2067,1,2,756,1,1
23,43,10,1,3,388,1,2,2087,2,1
24,43,5,3,1,-192,1,2,1120,2,1
25,37,2,2,2,381,1,2,985,2,1
26,35,5,2,2,40,1,2,617,4,1
27,31,7,2,3,22,1,2,483,3,1
28,43,5,2,2,3,1,2,929,3,1
29,31,8,3,2,307,1,2,538,1,1
30,28,5,2,2,759,1,2,710,1,1
31,32,5,3,2,-1,1,2,653,1,1
32,60,7,3,1,65,1,2,1028,2,1
33,26,5,2,2,82,1,2,654,1,1
34,40,5,3,2,10,1,2,1692,2,1
35,33,5,1,1,390,1,2,665,2,1
36,32,10,2,3,311,0,2,757,2,1
37,35,5,3,1,414,0,2,504,4,1
38,33,10,1,2,5,1,2,1346,1,1
39,38,10,3,3,119,1,2,568,4,1
40,23,11,2,1,4,1,2,395,2,1
41,60,5,3,1,1262,1,1,1015,1,1
42,48,10,3,3,1949,1,2,683,2,1
43,45,11,1,3,-395,1,2,470,1,1
44,36,5,3,2,1165,1,2,1001,4,1
45,52,10,3,2,2240,1,2,845,1,1
46,35,5,1,1,300,1,2,945,2,1
47,43,7,3,2,3285,1,2,1721,2,1
48,52,4,3,2,3923,1,2,942,3,1
49,53,7,1,1,1443,1,2,476,1,1
50,48,5,1,1,24,1,2,832,1,1
51,41,5,2,1,1618,1,2,1553,1,1
52,39,10,1,3,517,1,1,1328,1,1
