age,job,marital,education,balance,housing,loan,duration,campaign,deposit
59,admin.,married,secondary,2343,yes,no,1042,1,yes
56,admin.,married,secondary,45,no,no,1467,1,yes
41,technician,married,secondary,1270,yes,no,1389,1,yes
55,services,married,secondary,2476,yes,no,579,1,yes
54,admin.,married,tertiary,184,no,no,673,2,yes
42,management,single,tertiary,0,yes,yes,562,2,yes
56,management,married,tertiary,830,yes,yes,1201,1,yes
60,retired,divorced,secondary,545,yes,no,1030,1,yes
37,technician,married,secondary,1,yes,no,608,1,yes
28,services,single,secondary,5090,yes,no,1297,3,yes
38,admin.,single,secondary,100,yes,no,786,1,yes
30,blue-collar,married,secondary,309,yes,no,1574,2,yes
29,management,married,tertiary,199,yes,yes,1689,4,yes
46,blue-collar,single,tertiary,460,yes,no,1102,2,yes
31,technician,single,tertiary,703,yes,no,943,2,yes
35,management,divorced,tertiary,3837,yes,no,1084,1,yes
32,blue-collar,single,primary,611,yes,no,541,3,yes
49,services,married,secondary,-8,yes,no,1119,1,yes
41,admin.,married,secondary,55,yes,no,1120,2,yes
49,admin.,divorced,secondary,168,yes,yes,513,1,yes
28,admin.,divorced,secondary,785,yes,no,442,2,yes
43,management,single,tertiary,2067,yes,no,756,1,yes
43,management,divorced,tertiary,388,yes,no,2087,2,yes
43,blue-collar,married,primary,-192,yes,no,1120,2,yes
37,unemployed,single,secondary,381,yes,no,985,2,yes
35,blue-collar,single,secondary,40,yes,no,617,4,yes
31,technician,single,tertiary,22,yes,no,483,3,yes
43,blue-collar,single,secondary,3,yes,no,929,3,yes
31,admin.,married,secondary,307,yes,no,538,1,yes
28,blue-collar,single,secondary,759,yes,no,710,1,yes
32,blue-collar,married,secondary,-1,yes,no,653,1,yes
60,technician,married,primary,65,yes,no,1028,2,yes
26,blue-collar,single,secondary,82,yes,no,654,1,yes
40,blue-collar,married,secondary,10,yes,no,1692,2,yes
33,blue-collar,divorced,primary,390,yes,no,665,2,yes
32,management,single,tertiary,311,no,no,757,2,yes
35,blue-collar,married,primary,414,no,no,504,4,yes
33,management,divorced,secondary,5,yes,no,1346,1,yes
38,management,married,tertiary,119,yes,no,568,4,yes
23,entrepreneur,single,primary,4,yes,no,395,2,yes
60,blue-collar,married,primary,1262,yes,yes,1015,1,yes
48,management,married,tertiary,1949,yes,no,683,2,yes
45,entrepreneur,divorced,tertiary,-395,yes,no,470,1,yes
36,blue-collar,married,secondary,1165,yes,no,1001,4,yes
52,management,married,,2240,yes,no,845,1,yes
35,blue-collar,divorced,primary,300,yes,no,945,2,yes
43,technician,married,secondary,3285,yes,no,1721,2,yes
52,housemaid,married,secondary,3923,yes,no,942,3,yes
53,technician,divorced,primary,1443,yes,no,476,1,yes
48,blue-collar,divorced,primary,24,yes,no,832,1,yes
